Category,Description,Item,Original Budget,Revised Budget
Construction,Site preparation work,Site Prep,15000,15000
Construction,Concrete foundation work,Concrete,50000,55000
Electrical,Internal electrical wiring,Wiring,20000,22500
Electrical,Lighting fixtures and install,Lighting,12000,12000
Plumbing,Water supply piping,Piping,18000,16000
Plumbing,Bathroom fixtures install,Fixtures,10000,11500
HVAC,HVAC main equipment,Equipment,30000,30000
HVAC,Ductwork installation,Ductwork,14000,16000
Finishes,Interior wall painting,Painting,9000,9000
Finishes,Tile and carpet flooring,Flooring,22000,25000
Landscaping,External landscaping,Landscaping,8000,9000
Roofing,Roof installation,Roofing,27000,27000
Carpentry,Interior wood work,Woodwork,16000,17500
Fire Protection,Fire alarm system,Fire Alarm,13000,13000
Security,CCTV and access control,Security System,14000,15500
